Drug Reaction Precaution Prevention	stop irritation, consult nearest hospital, stop taking drug, follow up
Malaria Precaution Prevention	Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out
Allergy Precaution Prevention	apply calamine, cover area with bandage, , use ice to compress itching
Hypothyroidism Precaution Prevention	reduce stress, exercise, eat healthy, get proper sleep
Psoriasis Precaution Prevention	wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths
GERD Precaution Prevention	avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise
Chronic cholestasis Precaution Prevention	cold baths, anti itch medicine, consult doctor, eat healthy
hepatitis A Precaution Prevention	Consult nearest hospital, wash hands through, avoid fatty spicy food, medication
Osteoarthristis Precaution Prevention	acetaminophen, consult nearest hospital, follow up, salt baths
(vertigo) Paroymsal  Positional Vertigo Precaution Prevention	lie down, avoid sudden change in body, avoid abrupt head movment, relax
Hypoglycemia Precaution Prevention	lie down on side, check in pulse, drink sugary drinks, consult doctor
Acne Precaution Prevention	bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products
Diabetes Precaution Prevention	have balanced diet, exercise, consult doctor, follow up
Impetigo Precaution Prevention	soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor
Hypertension Precaution Prevention	meditation, salt baths, reduce stress, get proper sleep
Peptic ulcer diseae Precaution Prevention	avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol
Dimorphic hemmorhoids(piles) Precaution Prevention	avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice
Common Cold Precaution Prevention	drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check
Chicken pox Precaution Prevention	use neem in bathing , consume neem leaves, take vaccine, avoid public places
Cervical spondylosis Precaution Prevention	use heating pad or cold pack, exercise, take otc pain reliver, consult doctor
Hyperthyroidism Precaution Prevention	eat healthy, massage, use lemon balm, take radioactive iodine treatment
Urinary tract infection Precaution Prevention	drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics
Varicose veins Precaution Prevention	lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long
AIDS Precaution Prevention	avoid open cuts, wear ppe if possible, consult doctor, follow up
Paralysis (brain hemorrhage) Precaution Prevention	massage, eat healthy, exercise, consult doctor
Typhoid Precaution Prevention	eat high calorie vegitables, antiboitic therapy, consult doctor, medication
Hepatitis B Precaution Prevention	consult nearest hospital, vaccination, eat healthy, medication
Fungal infection Precaution Prevention	bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths
Hepatitis C Precaution Prevention	Consult nearest hospital, vaccination, eat healthy, medication
Migraine Precaution Prevention	meditation, reduce stress, use poloroid glasses in sun, consult doctor
Bronchial Asthma Precaution Prevention	switch to loose cloothing, take deep breaths, get away from trigger, seek help
Alcoholic hepatitis Precaution Prevention	stop alcohol consumption, consult doctor, medication, follow up
Jaundice Precaution Prevention	drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication
Hepatitis E Precaution Prevention	stop alcohol consumption, rest, consult doctor, medication
Dengue Precaution Prevention	drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated
Hepatitis D Precaution Prevention	consult doctor, medication, eat healthy, follow up
Heart attack Precaution Prevention	call ambulance, chew or swallow asprin, keep calm, 
Pneumonia Precaution Prevention	consult doctor, medication, rest, follow up
Arthritis Precaution Prevention	exercise, use hot and cold therapy, try acupuncture, massage
Gastroenteritis Precaution Prevention	stop eating solid food for while, try taking small sips of water, rest, ease back into eating
Tuberculosis Precaution Prevention	cover mouth, consult doctor, medication, rest
